filepath,category,split
graffiti_raw/2019-10-28_11-07-58_UTC.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-934.jpg,pothole,train
illegal_dumping_raw/trash59.jpg,illegal_dumping,train
graffiti_raw/2018-09-02 01.56.36 1859406896009000997_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-223.jpg,pothole,train
other_pool/n03141823_crutch.JPEG,other,train
illegal_dumping_raw/trash22.jpg,illegal_dumping,train
other_pool/n01530575_brambling.JPEG,other,train
pothole_raw/Pothole Dataset/img-114.jpg,pothole,train
broken_streetlight_raw/20240430_051136.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-636.jpg,pothole,train
other_pool/n01806567_quail.JPEG,other,train
pothole_raw/Pothole Dataset/img-682.jpg,pothole,train
graffiti_raw/2018-11-19 03.25.24 1916014288935659561_cargraffiti.jpg,graffiti,train
other_pool/n03710721_maillot.JPEG,other,train
other_pool/n03179701_desk.JPEG,other,train
pothole_raw/Pothole Dataset/img-593.jpg,pothole,train
other_pool/n03530642_honeycomb.JPEG,other,train
other_pool/n02514041_barracouta.JPEG,other,train
graffiti_raw/2019-02-08 04.07.54 1974742515254101827_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash112.jpg,illegal_dumping,train
broken_streetlight_raw/no_wok.jpg,broken_streetlight,train
illegal_dumping_raw/trash5.jpg,illegal_dumping,train
broken_streetlight_raw/20240305_192541.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_192722.jpg,broken_streetlight,train
broken_streetlight_raw/IMG_20240301_065537.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_192132.jpg,broken_streetlight,train
illegal_dumping_raw/trash115.jpg,illegal_dumping,train
graffiti_raw/2019-10-13_13-48-57_UTC_6.jpg,graffiti,train
illegal_dumping_raw/trash57.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-280.jpg,pothole,train
graffiti_raw/2019-10-13_13-52-47_UTC.jpg,graffiti,train
graffiti_raw/2019-10-25_17-43-09_UTC.jpg,graffiti,train
broken_streetlight_raw/20240305_191236.jpg,broken_streetlight,train
graffiti_raw/2019-01-20 12.24.10 1961221556517909794_cargraffiti.jpg,graffiti,train
other_pool/n03788365_mosquito_net.JPEG,other,train
graffiti_raw/2018-09-16 02.59.13 1869584831837187762_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/fault-2-a.jpg,broken_streetlight,train
broken_streetlight_raw/1710161617704.jpg,broken_streetlight,train
illegal_dumping_raw/trash46.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-1174.jpg,pothole,train
broken_streetlight_raw/IMG_20240301_065332.jpg,broken_streetlight,train
illegal_dumping_raw/trash30.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-148.jpg,pothole,train
graffiti_raw/2019-08-24_17-22-13_UTC.jpg,graffiti,train
illegal_dumping_raw/trash65.jpg,illegal_dumping,train
broken_streetlight_raw/IMG_20240301_063941.jpg,broken_streetlight,train
other_pool/n07579787_plate.JPEG,other,train
graffiti_raw/2018-11-03 11.59.44 1904646553717472991_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-29.jpg,pothole,train
broken_streetlight_raw/20240309_193521.jpg,broken_streetlight,train
graffiti_raw/2019-04-09 06.41.16 2018276051235868758_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-137.jpg,pothole,train
other_pool/n02342885_hamster.JPEG,other,train
illegal_dumping_raw/trash37.jpg,illegal_dumping,train
graffiti_raw/2019-08-24_06-46-23_UTC_2.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-431.jpg,pothole,train
graffiti_raw/2018-10-08 13.21.32 1885843561329948528_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240309_190703.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-837.jpg,pothole,train
pothole_raw/Pothole Dataset/img-162.jpg,pothole,train
broken_streetlight_raw/IMG20240307184613.jpg,broken_streetlight,train
broken_streetlight_raw/IMG-20240303-WA0078.jpg,broken_streetlight,train
graffiti_raw/2019-10-27_22-25-51_UTC_2.jpg,graffiti,train
illegal_dumping_raw/trash64.jpg,illegal_dumping,train
illegal_dumping_raw/trash8.jpg,illegal_dumping,train
graffiti_raw/2019-02-03 04.17.36 1971123516216902566_cargraffiti.jpg,graffiti,train
other_pool/n02403003_ox.JPEG,other,train
other_pool/n01768244_trilobite.JPEG,other,train
graffiti_raw/2019-01-22 01.56.56 1962355405225155749_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240305_192757.jpg,broken_streetlight,train
graffiti_raw/2018-09-22 04.55.30 1873992448120995050_cargraffiti.jpg,graffiti,train
other_pool/n01807496_partridge.JPEG,other,train
cracked_sidewalk_raw/crack_noise_06.jpg,cracked_sidewalk,train
other_pool/n07873807_pizza.JPEG,other,train
broken_streetlight_raw/IMG-20240303-WA0076.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-343.jpg,pothole,train
broken_streetlight_raw/20240309_193146.jpg,broken_streetlight,train
broken_streetlight_raw/1710175966024.jpg,broken_streetlight,train
other_pool/n02025239_ruddy_turnstone.JPEG,other,train
pothole_raw/Pothole Dataset/img-193.jpg,pothole,train
graffiti_raw/2019-10-27_05-38-14_UTC.jpg,graffiti,train
graffiti_raw/2019-06-25_16-44-35_UTC.jpg,graffiti,train
illegal_dumping_raw/trash42.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-696.jpg,pothole,train
graffiti_raw/2018-10-21 05.02.26 1895005364854188083_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash88.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-235.jpg,pothole,train
pothole_raw/Pothole Dataset/img-1049.jpg,pothole,train
cracked_sidewalk_raw/like_crack_02.jpg,cracked_sidewalk,train
graffiti_raw/2019-01-20 12.24.10 1961221556484417949_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-745.jpg,pothole,train
other_pool/n02167151_ground_beetle.JPEG,other,train
broken_streetlight_raw/IMG-20240228-WA0014.jpg,broken_streetlight,train
broken_streetlight_raw/1710175965762.jpg,broken_streetlight,train
graffiti_raw/2019-10-28_09-19-13_UTC_4.jpg,graffiti,train
broken_streetlight_raw/20240309_192856.jpg,broken_streetlight,train
other_pool/n03785016_moped.JPEG,other,train
pothole_raw/Pothole Dataset/img-829.jpg,pothole,train
illegal_dumping_raw/trash7.jpg,illegal_dumping,train
other_pool/n01734418_king_snake.JPEG,other,train
illegal_dumping_raw/trash11.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-645.jpg,pothole,train
pothole_raw/Pothole Dataset/img-585.jpg,pothole,train
graffiti_raw/2019-10-20_17-14-03_UTC.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-490.jpg,pothole,train
pothole_raw/Pothole Dataset/img-65.jpg,pothole,train
graffiti_raw/2018-10-16 09.49.52 1891535229031534309_cargraffiti.jpg,graffiti,train
other_pool/n02102973_Irish_water_spaniel.JPEG,other,train
broken_streetlight_raw/20240305_190902.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-796.jpg,pothole,train
other_pool/n02101388_Brittany_spaniel.JPEG,other,train
broken_streetlight_raw/20240305_192944.jpg,broken_streetlight,train
other_pool/n03495258_harp.JPEG,other,train
other_pool/n01641577_bullfrog.JPEG,other,train
broken_streetlight_raw/IMG-20240301-WA0007.jpg,broken_streetlight,train
other_pool/n03903868_pedestal.JPEG,other,train
broken_streetlight_raw/20240309_193759.jpg,broken_streetlight,train
other_pool/n03594945_jeep.JPEG,other,train
broken_streetlight_raw/1710161617696.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_191316.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_192316.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-116.jpg,pothole,train
graffiti_raw/2018-08-30 07.23.06 1857391704133329877_cargraffiti.jpg,graffiti,train
other_pool/n04023962_punching_bag.JPEG,other,train
other_pool/n02641379_gar.JPEG,other,train
other_pool/n01592084_chickadee.JPEG,other,train
other_pool/n04456115_torch.JPEG,other,train
pothole_raw/Pothole Dataset/img-942.jpg,pothole,train
broken_streetlight_raw/20240305_191822.jpg,broken_streetlight,train
graffiti_raw/2019-09-10_20-48-39_UTC.jpg,graffiti,train
other_pool/n02086240_Shih-Tzu.JPEG,other,train
graffiti_raw/2019-08-31_07-35-47_UTC.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-1131.jpg,pothole,train
illegal_dumping_raw/trash19.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-314.jpg,pothole,train
broken_streetlight_raw/1709693294364.jpg,broken_streetlight,train
cracked_sidewalk_raw/pure_crack_12.jpg,cracked_sidewalk,train
graffiti_raw/2019-10-14_09-06-46_UTC.jpg,graffiti,train
graffiti_raw/2018-08-09 12.04.54 1842318445381119615_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/IMG-20240228-WA0013.jpg,broken_streetlight,train
broken_streetlight_raw/20240409_185653.jpg,broken_streetlight,train
other_pool/n01601694_water_ouzel.JPEG,other,train
other_pool/n01685808_whiptail.JPEG,other,train
broken_streetlight_raw/IMG-20240301-WA0003.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-175.jpg,pothole,train
pothole_raw/Pothole Dataset/img-661.jpg,pothole,train
graffiti_raw/2019-10-28_11-01-23_UTC_9.jpg,graffiti,train
other_pool/n01784675_centipede.JPEG,other,train
other_pool/n02109525_Saint_Bernard.JPEG,other,train
pothole_raw/Pothole Dataset/img-24.jpg,pothole,train
pothole_raw/Pothole Dataset/img-1058.jpg,pothole,train
pothole_raw/Pothole Dataset/img-435.jpg,pothole,train
pothole_raw/Pothole Dataset/img-635.jpg,pothole,train
other_pool/n03535780_horizontal_bar.JPEG,other,train
pothole_raw/Pothole Dataset/img-265.jpg,pothole,train
graffiti_raw/2018-11-09 05.45.27 1908837021633727949_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240305_193420.jpg,broken_streetlight,train
graffiti_raw/2019-01-22 01.56.56 1962355405208245318_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash124.jpg,illegal_dumping,train
broken_streetlight_raw/IMG_20240301_063926.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-735.jpg,pothole,train
illegal_dumping_raw/trash94.jpg,illegal_dumping,train
graffiti_raw/2019-01-21 01.20.41 1961612394119868440_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-434.jpg,pothole,train
graffiti_raw/2019-01-20 12.24.10 1961221556534668080_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/WhatsApp Image 2024-03-05 at 21.23.59_01a0e8fd.jpg,broken_streetlight,train
illegal_dumping_raw/trash99.jpg,illegal_dumping,train
other_pool/n13054560_bolete.JPEG,other,train
other_pool/n03255030_dumbbell.JPEG,other,train
illegal_dumping_raw/trash123.jpg,illegal_dumping,train
illegal_dumping_raw/trash136.jpg,illegal_dumping,train
other_pool/n02236044_mantis.JPEG,other,train
other_pool/n01990800_isopod.JPEG,other,train
broken_streetlight_raw/20240305_193549.jpg,broken_streetlight,train
illegal_dumping_raw/trash41.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-15.jpg,pothole,train
graffiti_raw/2019-10-26_14-09-46_UTC.jpg,graffiti,train
other_pool/n03345487_fire_engine.JPEG,other,train
graffiti_raw/2019-08-29_23-19-56_UTC.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-325.jpg,pothole,train
cracked_sidewalk_raw/pure_crack_29.jpg,cracked_sidewalk,train
other_pool/n01698640_American_alligator.JPEG,other,train
pothole_raw/Pothole Dataset/img-1025.jpg,pothole,train
pothole_raw/Pothole Dataset/img-425.jpg,pothole,train
broken_streetlight_raw/night.png,broken_streetlight,train
pothole_raw/Pothole Dataset/img-104.jpg,pothole,train
graffiti_raw/2019-01-20 04.59.42 1960997854404447931_cargraffiti.jpg,graffiti,train
other_pool/n02692877_airship.JPEG,other,train
graffiti_raw/2019-01-07 02.44.46 1951507855158267052_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-02-01 18.38.22 1970107209548677062_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240430_051238.jpg,broken_streetlight,train
graffiti_raw/2019-03-30 11.15.33 2011166342081762739_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/1710175965977.jpg,broken_streetlight,train
broken_streetlight_raw/WhatsApp Image 2024-04-21 at 21.53.08_2372a343.jpg,broken_streetlight,train
other_pool/n04116512_rubber_eraser.JPEG,other,train
pothole_raw/Pothole Dataset/img-103.jpg,pothole,train
illegal_dumping_raw/trash90.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-21.jpg,pothole,train
other_pool/n02892201_brass.JPEG,other,train
broken_streetlight_raw/20240309_190815.jpg,broken_streetlight,train
cracked_sidewalk_raw/noncrack_01.jpg,cracked_sidewalk,train
pothole_raw/Pothole Dataset/img-129.jpg,pothole,train
other_pool/n02066245_grey_whale.JPEG,other,train
other_pool/n03717622_manhole_cover.JPEG,other,train
other_pool/n03450230_gown.JPEG,other,train
graffiti_raw/2018-09-06 06.22.14 1862439697129898044_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-818.jpg,pothole,train
pothole_raw/Pothole Dataset/img-963.jpg,pothole,train
pothole_raw/Pothole Dataset/img-560.jpg,pothole,train
other_pool/n01950731_sea_slug.JPEG,other,train
pothole_raw/Pothole Dataset/img-596.jpg,pothole,train
graffiti_raw/2019-04-10_12-25-03_UTC_2.jpg,graffiti,train
cracked_sidewalk_raw/pure_crack_27.jpg,cracked_sidewalk,train
graffiti_raw/2019-03-23 18.17.13 2006305150389460203_cargraffiti.jpg,graffiti,train
other_pool/n02708093_analog_clock.JPEG,other,train
graffiti_raw/2018-09-20 09.41.32 1872686843074926239_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-10-27_19-04-59_UTC_2.jpg,graffiti,train
illegal_dumping_raw/trash45.jpg,illegal_dumping,train
other_pool/n03877845_palace.JPEG,other,train
graffiti_raw/2019-09-13_01-36-01_UTC.jpg,graffiti,train
broken_streetlight_raw/IMG_20240229_183012.jpg,broken_streetlight,train
broken_streetlight_raw/IMG-20240309-WA0037.jpg,broken_streetlight,train
other_pool/n03680355_Loafer.JPEG,other,train
cracked_sidewalk_raw/pure_crack_18.jpg,cracked_sidewalk,train
broken_streetlight_raw/1709693294178.jpg,broken_streetlight,train
graffiti_raw/2018-08-30 07.23.06 1857391795459887877_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240305_192404.jpg,broken_streetlight,train
graffiti_raw/2019-10-28_09-19-13_UTC_1.jpg,graffiti,train
broken_streetlight_raw/IMG-20240303-WA0075.jpg,broken_streetlight,train
other_pool/n02106166_Border_collie.JPEG,other,train
pothole_raw/Pothole Dataset/img-820.jpg,pothole,train
pothole_raw/Pothole Dataset/img-522.jpg,pothole,train
broken_streetlight_raw/20240309_193423.jpg,broken_streetlight,train
illegal_dumping_raw/trash97.jpg,illegal_dumping,train
other_pool/n04552348_warplane.JPEG,other,train
pothole_raw/Pothole Dataset/img-1007.jpg,pothole,train
graffiti_raw/2019-10-27_20-43-35_UTC.jpg,graffiti,train
illegal_dumping_raw/trash74.jpg,illegal_dumping,train
other_pool/n02093647_Bedlington_terrier.JPEG,other,train
graffiti_raw/2018-08-24 08.01.23 1853063879975551046_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-237.jpg,pothole,train
broken_streetlight_raw/IMG-20240228-WA0012.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-333.jpg,pothole,train
pothole_raw/Pothole Dataset/img-881.jpg,pothole,train
other_pool/n02268443_dragonfly.JPEG,other,train
broken_streetlight_raw/20240309_191156.jpg,broken_streetlight,train
illegal_dumping_raw/trash43.jpg,illegal_dumping,train
broken_streetlight_raw/IMG-20240309-WA0038.jpg,broken_streetlight,train
other_pool/n03196217_digital_clock.JPEG,other,train
other_pool/n04131690_saltshaker.JPEG,other,train
pothole_raw/Pothole Dataset/img-468.jpg,pothole,train
broken_streetlight_raw/WhatsApp Image 2024-03-05 at 21.24.05_59799d6f.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-945.jpg,pothole,train
graffiti_raw/2018-12-25 09.08.19 1942278813299867379_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-975.jpg,pothole,train
illegal_dumping_raw/trash25.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-610.jpg,pothole,train
pothole_raw/Pothole Dataset/img-1001.jpg,pothole,train
broken_streetlight_raw/20240309_192720.jpg,broken_streetlight,train
other_pool/n03843555_oil_filter.JPEG,other,train
broken_streetlight_raw/IMG-20240228-WA0016.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-507.jpg,pothole,train
broken_streetlight_raw/20240309_192419.jpg,broken_streetlight,train
other_pool/n02870880_bookcase.JPEG,other,train
other_pool/n03991062_pot.JPEG,other,train
pothole_raw/Pothole Dataset/img-746.jpg,pothole,train
graffiti_raw/2018-07-09 02.29.57 1819561018075764768_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash62.jpg,illegal_dumping,train
pothole_raw/Pothole Dataset/img-582.jpg,pothole,train
other_pool/n01735189_garter_snake.JPEG,other,train
pothole_raw/Pothole Dataset/img-462.jpg,pothole,train
graffiti_raw/2018-11-08 02.12.09 1908004896825762899_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-122.jpg,pothole,train
broken_streetlight_raw/20240309_192057.jpg,broken_streetlight,train
graffiti_raw/2018-12-05 10.27.34 1927823189048986898_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240309_193159.jpg,broken_streetlight,train
graffiti_raw/2018-11-22 09.43.00 1918377147309517069_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-03-22_18-15-35_UTC.jpg,graffiti,train
broken_streetlight_raw/20240309_191555.jpg,broken_streetlight,train
cracked_sidewalk_raw/crack_in_large_context_04.jpg,cracked_sidewalk,train
graffiti_raw/2018-11-22 09.43.00 1918378675351406278_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash44.jpg,illegal_dumping,train
illegal_dumping_raw/trash111.jpg,illegal_dumping,train
graffiti_raw/2019-01-23 15.37.12 1963489864121166526_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/IMG-20240301-WA0006.jpg,broken_streetlight,train
other_pool/n04243546_slot.JPEG,other,train
graffiti_raw/2018-11-09 15.11.54 1909122129698467747_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240309_191838.jpg,broken_streetlight,train
illegal_dumping_raw/trash104.jpg,illegal_dumping,train
other_pool/n02100877_Irish_setter.JPEG,other,train
graffiti_raw/2018-09-07 22.54.27 1863663871618701274_cargraffiti.jpg,graffiti,train
graffiti_raw/2019-09-03_06-23-20_UTC.jpg,graffiti,train
other_pool/n04228054_ski.JPEG,other,train
pothole_raw/Pothole Dataset/img-1179.jpg,pothole,train
cracked_sidewalk_raw/pure_crack_06.jpg,cracked_sidewalk,train
pothole_raw/Pothole Dataset/img-797.jpg,pothole,train
graffiti_raw/2018-10-16 09.46.51 1891533709888150772_cargraffiti.jpg,graffiti,train
other_pool/n03534580_hoopskirt.JPEG,other,train
other_pool/n03271574_electric_fan.JPEG,other,train
broken_streetlight_raw/1710175965814.jpg,broken_streetlight,train
other_pool/n02787622_banjo.JPEG,other,train
graffiti_raw/2018-11-16 05.39.57 1913907685112635836_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/20240305_191251.jpg,broken_streetlight,train
broken_streetlight_raw/20240309_192738.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_190702.jpg,broken_streetlight,train
broken_streetlight_raw/1710161617748.jpg,broken_streetlight,train
broken_streetlight_raw/20240309_192437.jpg,broken_streetlight,train
graffiti_raw/2018-07-11 12.52.02 1821323671974025729_cargraffiti.jpg,graffiti,train
other_pool/n04259630_sombrero.JPEG,other,train
other_pool/n03743016_megalith.JPEG,other,train
graffiti_raw/2019-10-19_17-41-55_UTC.jpg,graffiti,train
broken_streetlight_raw/20240309_192536.jpg,broken_streetlight,train
broken_streetlight_raw/20240430_052020.jpg,broken_streetlight,train
broken_streetlight_raw/20240305_193520.jpg,broken_streetlight,train
broken_streetlight_raw/IMG-20240303-WA0070.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-935.jpg,pothole,train
cracked_sidewalk_raw/pure_crack_111.jpg,cracked_sidewalk,train
other_pool/n03000134_chainlink_fence.JPEG,other,train
graffiti_raw/2018-07-10 10.44.52 1820534889997812032_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-1079.jpg,pothole,train
graffiti_raw/2018-10-06 23.19.48 1884695125277715644_cargraffiti.jpg,graffiti,train
illegal_dumping_raw/trash77.jpg,illegal_dumping,train
graffiti_raw/2018-07-25 10.32.21 1831400226750754994_cargraffiti.jpg,graffiti,train
broken_streetlight_raw/1710175965844.jpg,broken_streetlight,train
other_pool/n02087394_Rhodesian_ridgeback.JPEG,other,train
other_pool/n04335435_streetcar.JPEG,other,train
pothole_raw/Pothole Dataset/img-153.jpg,pothole,train
graffiti_raw/2018-11-19 03.25.24 1916014288943986550_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-415.jpg,pothole,train
pothole_raw/Pothole Dataset/img-310.jpg,pothole,train
illegal_dumping_raw/trash56.jpg,illegal_dumping,train
broken_streetlight_raw/20240305_193127.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-545.jpg,pothole,train
other_pool/n04435653_tile_roof.JPEG,other,train
other_pool/n01978287_Dungeness_crab.JPEG,other,train
cracked_sidewalk_raw/pure_crack_09.jpg,cracked_sidewalk,train
pothole_raw/Pothole Dataset/img-370.jpg,pothole,train
cracked_sidewalk_raw/noncrack_04.jpg,cracked_sidewalk,train
illegal_dumping_raw/trash127.jpg,illegal_dumping,train
illegal_dumping_raw/trash17.jpg,illegal_dumping,train
other_pool/n02096585_Boston_bull.JPEG,other,train
graffiti_raw/2018-08-13 09.10.45 1845129895337031041_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-44.jpg,pothole,train
pothole_raw/Pothole Dataset/img-218.jpg,pothole,train
graffiti_raw/2019-10-21_16-45-38_UTC.jpg,graffiti,train
graffiti_raw/2019-10-18_06-27-56_UTC_2.jpg,graffiti,train
cracked_sidewalk_raw/like_crack_111.jpg,cracked_sidewalk,train
other_pool/n02687172_aircraft_carrier.JPEG,other,train
graffiti_raw/2019-10-08_14-57-58_UTC_3.jpg,graffiti,train
other_pool/n03895866_passenger_car.JPEG,other,train
cracked_sidewalk_raw/like_crack_05.jpg,cracked_sidewalk,train
pothole_raw/Pothole Dataset/img-1048.jpg,pothole,train
illegal_dumping_raw/trash89.jpg,illegal_dumping,train
graffiti_raw/2019-01-23 15.37.12 1963489875261213201_cargraffiti.jpg,graffiti,train
pothole_raw/Pothole Dataset/img-928.jpg,pothole,train
pothole_raw/Pothole Dataset/img-967.jpg,pothole,train
broken_streetlight_raw/20240305_193316.jpg,broken_streetlight,train
pothole_raw/Pothole Dataset/img-531.jpg,pothole,train
other_pool/n01440764_tench.JPEG,other,train
graffiti_raw/2019-10-27_08-03-40_UTC.jpg,graffiti,train
graffiti_raw/2019-03-02 16.48.50 1991070578077785266_cargraffiti.jpg,graffiti,train
cracked_sidewalk_raw/like_crack_53.jpg,cracked_sidewalk,train
broken_streetlight_raw/IMG_20240301_065153.jpg,broken_streetlight,train
broken_streetlight_raw/1710175965909.jpg,broken_streetlight,train
graffiti_raw/2019-02-24_04-22-33_UTC.jpg,graffiti,train
broken_streetlight_raw/20240305_190357.jpg,broken_streetlight,train
